Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
9896	C
3421	n/a (Sex Unknown)
8990	n/a (female)
3050	..
325	..
7858	..
7535	..
750	..
4725	n/a (female)
2750	n/a (female)
2025	n/a  (sex unknown)
1329	n/a (female)
2625	n/a (female)
1150	n/a (female)
4328	R1b1a1b1a1a
4215	n/a (female)
2200	n/a (female)
5748	..
4175	n/a  (sex unknown)
3200	n/a (female)
3200	n/a (female)
3169	..
9900	n/a (female)
3300	..
10700	n/a (female)
3300	..
3500	..
12700	..
12700	..
12700	..
9827	..
9600	n/a (female)
9569	..
10050	..
9565	..
9159	n/a (female)
10050	..
9827	..
9600	n/a (female)
10050	..
8800	n/a (female)
8700	n/a (female)
8700	n/a (female)
8800	n/a (female)
6009	..
6009	..
3234	..
4844	..
1695	n/a (female)
7950	n/a (female)
8300	..
8300	n/a (female)
8300	..
8300	..
7950	n/a (female)
10700	n/a (female)
10700	n/a (female)
5649	..
7363	..
6831	..
7347	..
7374	..
0	..
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	..
0	..
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	n/a (female)
0	n/a (female)
0	..
0	..
0	..
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	..
0	..
0	..
0	..
0	n/a (female)
0	..
0	..
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	..
0	..
0	n/a (female)
0	..
0	..
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
0	n/a (female)
0	..
0	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	n/a (female)
0	..
0	..
0	..
4466	..
2450	..
3000	..
2900	n/a (female)
2500	..
2450	..
2500	n/a (female)
2450	..
1050	..
3500	n/a (female)
4505	..
8096	n/a (female)
2426	..
246	n/a (female)
6200	..
6102	..
3745	..
1014	n/a (female)
1121	..
400	n/a (female)
320	..
400	..
400	..
399	..
0	n/a (female)
0	n/a (female)
0	..
0	n/a (female)
0	..
110450	n/a (female)
110450	n/a (female)
0	n/a  (sex unknown)
0	..
0	n/a  (sex unknown)
0	..
0	..
0	..
500	Q-M3
7162	..
7162	..
7428	n/a (female)
7428	..
7652	..
8574	..
8373	..
7758	n/a (female)
160	..
60	n/a (female)
180	n/a (female)
100	..
100	n/a (female)
100	n/a (female)
1490	..
1630	n/a (female)
6875	n/a (female)
6715	n/a (female)
7700	..
2333	n/a (female)
280	..
330	n/a (female)
440	..
590	..
400	..
420	..
100	n/a (female)
100	..
100	..
5820	n/a (female)
450	..
380	..
770	n/a (female)
100	n/a (female)
700	n/a (female)
740	..
2286	..
5875	L1a
6047	n/a (female)
6099	n/a (female)
6076	..
6156	..
5163	G2b
750	n/a (female)
655	n/a (female)
750	n/a (female)
4465	n/a (female)
4476	R1b1x(R1b1a1, R1b1a2, R1b1c2, R1b1c3) 
5162	n/a (female)
5417	n/a (female)
5163	G2b
4337	n/a (female)
4409	..
4400	..
4325	..
4450	n/a (female)
4479	n/a (female)
4723	n/a (female)
4400	n/a (female)
4340	..
4950	..
5123	n/a (female)
4700	n/a (female)
3050	n/a (female)
2586	..
2608	..
2625	..
2625	n/a (female)
2566	..
2599	n/a (female)
2800	..
2800	..
2625	..
2590	..
2800	..
2600	n/a (female)
2612	..
2723	..
2599	..
2776	..
2823	..
2614	..
3001	..
2934	..
2256	..
2225	..
1956	..
1872	n/a (female)
1956	..
3128	..
3318	..
3320	..
3325	n/a (female)
3150	n/a (female)
3074	n/a (female)
3216	..
2977	n/a (female)
3083	..
2941	n/a (female)
3150	n/a (female)
3217	..
3125	..
3125	..
3125	..
3125	..
3285	..
3285	..
3025	n/a (female)
3066	n/a (female)
3125	n/a (female)
3285	..
3125	n/a (female)
