Haplogroup	Date Mean
A00	7913
A1b1b2	1888
BT	7088
B	7820
B2b	3097
CT	4480
C	9896
C1a	35208
C1a1a	11908
C1a2	7025
C1a2b	7026
C2	19427
C2b	13929
C2b1	4556
C2b1a1b1	1786
C2b1c	2221
C2e1b2	4050
C2e2	5250
DE	11263
E1b1a1a1c1a	1100
E1b1b1	3550
E1b1b1a1b1	3981
E1b1b1a1b1a	1000
F	1000
G1	5660
G2	6975
G2a	1000
G2a1a1	1345
G2a1a1a1a1a1	1550
G2a2	4712
G2a2a	6345
G2a2a1	6376
G2a2a1a	6326
G2a2b	6975
G2a2b2a	3800
G2a2b2a1	6450
G2a2b2a1a	6450
G2a2b2a1a1b	2329
G2a2b2a1a1b1a	900
G2a2b2a1a1b1a2a1a	1350
G2a2b2a1a1c1a	4435
G2a2b2b2	6950
G2b	5163
HIJK	5483
H	5467
H1b1	6550
H2	5494
IJK	10393
IJ	900
I	5820
I1	1100
I1a	1000
I1a1	900
I1a1b	1000
I1a1b1	1200
I1a2	850
I1a2a	1850
I1a2a1a1a	1000
I1a2a1a2	1350
I1a2a2	1000
I1a3	1550
I1a3a2b	850
I2	4935
I2a	800
I2a1	4104
I2a1a	4750
I2a1a1	1000
I2a1a1a1a1	2051
I2a1a1a1b	5450
I2a1a1b	5609
I2a1a2	6048
I2a1a2a	6600
I2a1a2a1a	4750
I2a1b	5180
I2a1b1	5525
I2a1b1a	6076
I2a1b1a2	5380
I2a1b1b	2438
I2a1b2	3401
I2a2	3995
I2a2a	3833
I2a2a1	4850
I2a2a1a1a	5528
I2a2a1a1a2	5781
I2a2a1a2a1a1	3200
I2a2a1b	5208
I2a2a1b2	1350
I2a2a1b2a1	1150
I2a2b	6950
J	3184
J1a2b1	2248
J2	1000
J2a	6466
J2a1	2858
J2a1h	2250
J2a1h2	2252
J2b	4182
J2b1	1750
J2b2a1a1	1150
K2b	1487
L1	5164
L1a	5875
L2	1097
N1c	7545
N1c1a1	6550
N1c1a1a	4170
N1c2b2	4505
O1b1a2	5250
O2a	5250
O2a1c	3544
O2a2b1a1	3908
O2a2b1a1a	4296
O2a2b1a1a1a2a	4589
P1/K2b2a	4356
Q1a	4858
Q1a1a1	6927
Q1a1b1	1787
Q1a2	4380
Q1a2a	4350
Q1a2a1a	533
Q1a2a1c	4251
Q1a2b2	2027
Q1b	2000
Q1b1	4498
Q1b1a	883
Q1b1a1a	1960
Q1b1a1a1	2000
Q1b1a2	2000
Q1b1b2a	2446
Q1b2a	4697
R/K2b2a2	3448
R1	4222
R1a	4650
R1a1	975
R1a1a	1000
R1a1a1	1010
R1a1a1b	908
R1a1a1b1	1200
R1a1a1b1a	350
R1a1a1b1a2a	1200
R1a1a1b1a2b	1000
R1a1a1b1a2b3a	1000
R1a1a1b1a3	1000
R1a1a1b1a3a	350
R1a1a1b1a3a1	900
R1a1a1b1a3a1a1a	975
R1a1a1b1a3a2	1000
R1a1a1b1a3b2	1200
R1a1a1b2	2300
R1b	3950
R1b1	5527
R1b1a1	2586
R1b1a2	4226
R1b1a2a	3839
R1b1a2a1	850
R1b1a2a1a	1350
R1b1a2a1a1	1050
R1b1a2a1a1a	1050
R1b1a2a1a1b	950
R1b1a2a1a1c	1075
R1b1a2a1a1c1a	1050
R1b1a2a1a1c2b1b	1200
R1b1a2a1a1c2b2a1	950
R1b1a2a1a1c2b2a1a1	1150
R1b1a2a1a1c2b2a1a1a1	1200
R1b1a2a1a1c2b2a1a2	1150
R1b1a2a1a1c2b2b1a	850
R1b1a2a1a1c2b2b1a1	1150
R1b1a2a1a1c2b2b1a2	1150
R1b1a2a1a1e	925
R1b1a2a1a2	1350
R1b1a2a1a2a1	900
R1b1a2a1a2a1a1a	850
R1b1a2a1a2a1a2	950
R1b1a2a1a2c	950
R1b1a2a1a2c1	1350
R1b1a2a1a2c1a1a1a1a	950
R1b1a2a1a2c1a1a1a1a1	950
R1b1a2a1a2c1a1a1a1a1a	950
R1b1a2a1a2c1b	950
R1b1a2a1a2c1b2b1	950
R1b1a2a1a2c1b2c1a1	950
R1b1a2a1a2c1f2	800
R1b1a2a1a2c1f2c1	950
R1b1a2a1a2c1f2c2	950
R1b1a2a1a2c1g1a1	1345
R1b1a2a1a2c1g3	1350
R1b1a2a1a2e	1050
R1b1a2a1a2e2	1350
R1b1a2a1b1	1050
R1b1a2a2	1345
R1b1a2a2c1	4200
R1b1a2a2c1a1a	1350
R1b1b	7033
R1b1c	3900
T1a1	5600
T1a1a	900
T1a2b	1345
T1a2b1	900
Root	200000
