Haplogroup	Date Mean
A00	7913
A1b1b2	2037
BT	7274
B	7820
B2b	3097
CT	32669
C	14521
C1a	35208
C1a1a	11908
C1a2	7058
C1a2b	7091
C2	19427
C2b	13929
C2b1	6905
C2b1a1b1	2650
C2b1c	2221
C2e1b2	4050
C2e2	5250
DE	11263
E1b1b1	3550
E1b1b1a1b1	3981
F	9161
G1	5660
G2	6975
G2a	7146
G2a2	4940
G2a2a	6975
G2a2a1	7019
G2a2a1a	6326
G2a2b	6975
G2a2b2a	6450
G2a2b2a1	6975
G2a2b2a1a	6450
G2a2b2a1a1b	2225
G2a2b2a1a1c1a	4435
G2a2b2b2	6950
G2b	5163
HIJK	5483
H	5467
H1b1	6550
H2	7245
IJK	10393
I	14620
I1	13015
I2	10393
I2a	13698
I2a1	7661
I2a1a	5566
I2a1a1	5809
I2a1a1a1a1	4750
I2a1a1a1b	5450
I2a1a1b	5609
I2a1a2	7363
I2a1a2a	6600
I2a1a2a1a	4750
I2a1b	8279
I2a1b1	9580
I2a1b1a	6076
I2a1b1a2	5380
I2a1b1b	6065
I2a1b2	10280
I2a2	10280
I2a2a	7001
I2a2a1	5528
I2a2a1a1a	5528
I2a2a1a1a2	5781
I2a2a1a2a1a1	3200
I2a2a1b	5208
I2a2b	6950
J	6508
J1a2b1	2248
J2a	6466
J2a1	5550
J2a1h	2250
J2a1h2	2252
J2b	4182
L1	5164
L1a	5875
N1c	7545
N1c1a1	7379
N1c1a1a	4170
N1c2b2	8801
O1b1a2	5250
O2a	5250
O2a1c	3544
O2a2b1a1	3908
O2a2b1a1a	4479
O2a2b1a1a1a2a	4589
P1/K2b2a	4356
Q1a	4858
Q1a1a1	6927
Q1a2	4380
Q1a2a	5559
Q1a2a1c	5969
Q1a2b2	2027
Q1b	4224
Q1b1	4849
Q1b1a1a	1960
Q1b1a1a1	2734
Q1b1a2	2510
Q1b1b2a	2446
Q1b2a	4697
R/K2b2a2	3448
R1	5140
R1a	4650
R1a1a1b	2750
R1a1a1b2	2300
R1b	7127
R1b1	8704
R1b1a1	4347
R1b1a2	4901
R1b1a2a	3839
R1b1a2a1	3200
R1b1a2a1a	4671
R1b1a2a1a2	4217
R1b1a2a2	4718
R1b1a2a2c1	4745
R1b1b	7677
R1b1c	3900
T1a1	7047
T1a1a	3550
Root	200000
