Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
9896	C
3421	n/a (Sex Unknown)
8990	n/a (female)
3050	..
7858	..
7535	..
4725	n/a (female)
2750	n/a (female)
2625	n/a (female)
4328	R1b1a1b1a1a
4215	n/a (female)
2200	n/a (female)
5748	..
4175	n/a  (sex unknown)
3200	n/a (female)
3200	n/a (female)
3169	..
9900	n/a (female)
3300	..
10700	n/a (female)
3300	..
3500	..
12700	..
12700	..
12700	..
9827	..
9600	n/a (female)
9569	..
10050	..
9565	..
9159	n/a (female)
10050	..
9827	..
9600	n/a (female)
10050	..
8800	n/a (female)
8700	n/a (female)
8700	n/a (female)
8800	n/a (female)
6009	..
6009	..
3234	..
4844	..
7950	n/a (female)
8300	..
8300	n/a (female)
8300	..
8300	..
7950	n/a (female)
10700	n/a (female)
10700	n/a (female)
5649	..
7363	..
6831	..
7347	..
7374	..
4466	..
2450	..
3000	..
2900	n/a (female)
2500	..
2450	..
2500	n/a (female)
2450	..
3500	n/a (female)
4505	..
8096	n/a (female)
2426	..
6200	..
6102	..
3745	..
110450	n/a (female)
110450	n/a (female)
7162	..
7162	..
7428	n/a (female)
7428	..
7652	..
8574	..
8373	..
7758	n/a (female)
6875	n/a (female)
6715	n/a (female)
7700	..
2333	n/a (female)
5820	n/a (female)
2286	..
5875	L1a
6047	n/a (female)
6099	n/a (female)
6076	..
6156	..
5163	G2b
4465	n/a (female)
4476	R1b1x(R1b1a1, R1b1a2, R1b1c2, R1b1c3) 
5162	n/a (female)
5417	n/a (female)
5163	G2b
4337	n/a (female)
4409	..
4400	..
4325	..
4450	n/a (female)
4479	n/a (female)
4723	n/a (female)
4400	n/a (female)
4340	..
4950	..
5123	n/a (female)
4700	n/a (female)
3050	n/a (female)
2586	..
2608	..
2625	..
2625	n/a (female)
2566	..
2599	n/a (female)
2800	..
2800	..
2625	..
2590	..
2800	..
2600	n/a (female)
2612	..
2723	..
2599	..
2776	..
2823	..
2614	..
3001	..
2934	..
2256	..
2225	..
1872	n/a (female)
3128	..
3318	..
3320	..
3325	n/a (female)
3150	n/a (female)
3074	n/a (female)
3216	..
2977	n/a (female)
3083	..
2941	n/a (female)
3150	n/a (female)
3217	..
3125	..
3125	..
3125	..
3125	..
3285	..
3285	..
3025	n/a (female)
3066	n/a (female)
3125	n/a (female)
3285	..
3125	n/a (female)
3025	..
3285	n/a (female)
3125	..
3125	..
3125	n/a (female)
3285	..
3025	..
3125	n/a (female)
3285	n/a (female)
3285	n/a (female)
2986	..
3052	..
2911	n/a (female)
3135	n/a (female)
2793	..
2896	..
2690	n/a (female)
2690	n/a (female)
2690	..
2690	..
2690	..
2875	n/a (female)
2875	..
2875	..
2875	n/a (female)
2877	n/a (female)
2875	..
2875	..
2986	..
2915	..
3150	n/a (female)
3285	n/a (female)
3285	n/a (female)
3125	..
3125	..
3125	..
3125	..
3285	n/a (female)
3285	n/a (female)
3285	..
3125	n/a (female)
3285	n/a (female)
3050	..
2865	..
3050	..
3285	n/a (female)
2750	..
3050	..
3285	..
3390	n/a (female)
3050	..
3390	..
2865	n/a (female)
3285	..
3150	..
2809	n/a (female)
2875	..
2690	..
2875	..
2875	n/a (female)
3150	n/a (female)
3285	n/a (female)
3125	n/a (female)
3125	n/a (female)
3125	..
2875	..
2915	..
3285	..
3200	..
3259	n/a (female)
3009	n/a (female)
2908	..
2935	n/a (female)
3050	..
3018	n/a (female)
3285	n/a (female)
3285	n/a (female)
3285	n/a (female)
3285	n/a (female)
3285	n/a (female)
3150	n/a (female)
3285	n/a (female)
3285	..
3285	..
3285	n/a (female)
3285	n/a (female)
3285	n/a (female)
3285	n/a (female)
2565	n/a (female)
2565	n/a (female)
2565	..
2565	n/a (female)
2565	..
2565	..
3024	..
2622	..
2023	n/a (female)
2022	n/a (female)
3945	..
3397	n/a (female)
3270	..
3285	..
3390	..
3764	..
3477	..
3251	..
2594	..
2800	n/a (female)
2806	n/a (female)
2765	..
2789	n/a (female)
2595	n/a (female)
2749	..
2595	n/a (female)
2700	n/a (female)
2554	..
7088	..
6961	n/a (female)
2300	n/a (female)
2300	..
2300	n/a (female)
30850	..
30850	..
30850	..
30950	..
7366	CT 
7150	n/a (female)
7088	BT
7150	n/a (female)
7150	n/a (female)
7150	..
5660	G1
7638	n/a (female)
7378	n/a (female)
35208	C1a
27505	n/a (female)
28051	n/a (female)
26300	n/a (female)
15077	..
15077	..
11700	n/a  (sex unknown)
5607	n/a (female)
3860	..
4079	..
4673	..
4472	..
4523	..
4482	n/a (female)
4891	..
