Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
325	1450-1800 CE	..
750	900-1500 CE	..
1329	591-650 calCE (1442±20 BP, MAMS-44068)	n/a (female)
1150	850-1450 CE	n/a (female)
1695	60-450 calCE (2560±20 BP, PSUAMS-1962)	n/a (female)
1050	800-1000 CE	..
246	1644-1797 calCE (235±15 BP, PSUAMS-8291)	n/a (female)
1014	889-989 calCE (1120±20 BP, PSUAMS-5943)	n/a (female)
1121	773-885 calCE (1205±20 BP, PSUAMS-7198)	..
400	1400-1700 CE	n/a (female)
320	1527-1660 calCE (270±13 BP) [R_combine: (260±20 BP, PSUAMS-7160); (275±15 BP, PSUAMS-8304)]	..
400	1400-1700 CE	..
400	1400-1700 CE	..
399	1472-1632 calCE (355±15 BP, PSUAMS-7161)	..
500	1400-1500 CE	Q-M3
160	1560-1960 calCE (555±20 BP, PSUAMS-6678)	..
60	1810-1960 calCE (490±25 BP, PSUAMS-6679)	n/a (female)
180	1550-1960 calCE (570±20 BP, PSUAMS-6680)	n/a (female)
100	1800-1900 CE	..
100	1800-1900 CE	n/a (female)
100	1800-1900 CE	n/a (female)
1490	260-600 calCE (1975±25 BP, PSUAMS-6673)	..
1630	250-385 calCE (1750±15 BP, UCIAMS-185301)	n/a (female)
280	1450-1820 calCE (650±20 BP, PSUAMS-6674)	..
330	1470-1810 calCE (530±45 BP, PSUAMS-6675)	n/a (female)
440	1330-1650 calCE (820±40 BP, UGAMS-5151)	..
590	1280-1440 calCE (870±20 BP, PSUAMS-6683)	..
400	1460-1640 calCE (800±20 BP, PSUAMS-6676)	..
420	1450-1630 calCE (815±20 BP, PSUAMS-6677)	..
100	1800-1900 CE	n/a (female)
100	1800-1900 CE	..
100	1800-1900 CE	..
450	1420-1630 calCE (520±30 BP, PSUAMS-6672)	..
380	1490-1660 calCE (335±35 BP, AA-69652)	..
770	1040-1280 calCE (897±38 BP, AA-69655)	n/a (female)
100	1670-1960 calCE (220±20 BP, PSUAMS-6685)	n/a (female)
700	1200-1300 calCE (895±25 BP, PSUAMS-6686)	n/a (female)
740	1150-1270 calCE (960±20 BP, PSUAMS-6684)	..
750	1100-1300 CE	n/a (female)
655	1271-1379 calCE (795±33 BP, OxA-31675)	n/a (female)
750	1100-1300 CE	n/a (female)
1669	220-330 calCE (1790±20 BP, PSUAMS-8548)	n/a (female)
850	1033-1159 calCE (947±24 BP, OxA-38206)	..
1073	772-973 calCE (1161±19 BP, OxA-39170)	..
1003	893-994 calCE (1098±14 BP) [R_combine: (1119±19 BP, OxA-39245); (1075±20 BP, PSUAMS-7371)]	n/a (female)
603	1305-1398 calCE (609±13 BP, OxA-39239, 40)	n/a (female)
750	900-1500 CE	..
750	900-1500 CE	n/a (female)
750	900-1500 CE	..
750	900-1500 CE	n/a (female)
795	1047-1220 calCE (890±23 BP, MAMS-39633)	n/a (female)
938	992-1032 calCE (1025±20 BP, PSUAMS-7369)	n/a (female)
679	1229-1291 calCE (745±20 BP, PSUAMS-7370)	n/a (female)
875	950-1200 CE	n/a (female)
883	994-1154 calCE (991± 22 BP, MAMS-39634)	Q1b1a
875	950-1200 CE	n/a (female)
795	1047-1220 calCE (890±23 BP, MAMS-39633)	n/a (female)
624	1278-1388 calCE (675±20 BP, PSUAMS-7368)	..
1017	885-990 calCE (1127±19 BP, OxA-39169)	n/a (female)
752	1165-1224 calCE (855±15 BP, UCIAMS-186352)	..
611	1283-1390 calCE (660±20 BP, UCIAMS-186353)	n/a (female)
614	1282-1388 calCE (665±15 BP) [R_combine: (660±20 BP, UCIAMS-186354); (670±20 BP, PSUAMS-7456)]	n/a (female)
599	1307-1406 calCE (593±19 BP, OxA-39129)	n/a (female)
651	1274-1380 calCE (700±20 BP, PSUAMS-6793)	..
589	1319-1417 calCE (572±20 BP, OxA-39126)	..
597	1319-1407 calCE (584±15 BP) [R_combine: (584±20 BP, OxA-39127); (584±20 BP, OxA-39130)]	n/a (female)
635	1277-1384 calCE (685±20 BP, PSUAMS-6794)	..
588	1319-1418 calCE (571±20 BP, OxA-39125)	..
663	1271-1377 calCE (712±18 BP, OxA-39493)	..
993	892-1022 calCE (1082±29 BP, OxA-X-2623-21)	n/a (female)
985	775-1155 calCE (1060±62 BP, AA84155)	n/a  (sex unknown)
1120	765-940 calCE (1190±25, PSUAMS-2141)	n/a  (sex unknown)
1090	770-965 calCE (1165±25, PSUAMS-2142)	n/a  (sex unknown)
900	900-1200 CE	..
990	900-1025 calCE (1056±23 BP, OxA-31463)	n/a (female)
865	1015-1155 calCE (969±28 BP, OxA-31443)	..
1125	650-1000 CE	..
1100	700-1000 CE	n/a  (sex unknown)
702	1223-1273 calCE (790±20 BP, PSUAMS-10739)	..
1055	700-1090 CE	n/a (female)
1000	900-1000 CE	n/a (female)
1100	700-1000 CE	E1b1a1a1c1a
1100	700-1000 CE	E1b1b1b2b(E- M293,E- CTS10880) 
281	1496-1842 CE	..
309	1479-1804 CE	..
1339	553-646 calCE (1498±23 BP, MAMS-28359)	n/a (female)
1550	300-500 CE	..
825	1000-1250 CE	n/a (female)
797	1051-1217 calCE (895±15 BP, PSUAMS-8331)	n/a (female)
1014	889-989 calCE (1120±20 BP, PSUAMS-2222)	..
676	1231-1295 calCE (740±20 BP, UCIAMS-107246)	..
667	1223-1384 calCE (729±38 BP, D-AMS-22506)	..
625	1200-1450 CE	..
625	1200-1450 CE	n/a (female)
625	1200-1450 CE	n/a (female)
625	1200-1450 CE	..
625	1200-1450 CE	..
400	1458-1637 calCE (351±40 BP, D-AMS-22504)	n/a (female)
625	1200-1450 CE	n/a (female)
800	800-1500 CE	..
1550	1-800 CE	..
