Haplogroup	Date Mean
BT	950
CT	900
C2b1a1b1	1299
E1b1a1a1c1a	1100
E1b1b1a1b1a	1000
F	750
G2a	1000
G2a1a1	1345
G2a1a1a1a1a1	1550
G2a2	1350
G2a2b2a1a1b1a	900
G2a2b2a1a1b1a2a1a	1350
IJ	900
I	900
I1	350
I1a	834
I1a1	900
I1a1b	900
I1a1b1	950
I1a2	800
I1a2a	1185
I1a2a1a1a	887
I1a2a1a2	1350
I1a2a2	1000
I1a3	1345
I1a3a2b	850
I2	1050
I2a	800
I2a1a1	1000
I2a1b	950
I2a1b1	1000
I2a1b1a	900
I2a2	1050
I2a2a1b	1000
I2a2a1b2	850
I2a2a1b2a1	1150
J	1233
J2	1000
J2b1	1750
J2b2a1a1	1150
K2b	1487
L1	733
L2	1097
O2a2b1a1a1a2a	1763
Q1a1b1	1787
Q1a2a1a	533
Q1a2a1c	612
Q1b	637
Q1b1	935
Q1b1a	883
Q1b1a1a	659
Q1b1a1a1	393
Q1b1a2	709
R1	950
R1a	1150
R1a1	975
R1a1a	900
R1a1a1	900
R1a1a1b	908
R1a1a1b1	900
R1a1a1b1a	350
R1a1a1b1a2a	950
R1a1a1b1a2b	975
R1a1a1b1a2b3a	1000
R1a1a1b1a3	1000
R1a1a1b1a3a	350
R1a1a1b1a3a1	350
R1a1a1b1a3a1a1a	975
R1a1a1b1a3a2	900
R1a1a1b1a3b2	1200
R1b	1000
R1b1	1008
R1b1a2	647
R1b1a2a	1345
R1b1a2a1	850
R1b1a2a1a	850
R1b1a2a1a1	800
R1b1a2a1a1a	1050
R1b1a2a1a1b	950
R1b1a2a1a1c	1075
R1b1a2a1a1c1a	1050
R1b1a2a1a1c2b1b	1200
R1b1a2a1a1c2b2a1	950
R1b1a2a1a1c2b2a1a1	1150
R1b1a2a1a1c2b2a1a1a1	775
R1b1a2a1a1c2b2a1a2	1150
R1b1a2a1a1c2b2b1a	850
R1b1a2a1a1c2b2b1a1	1150
R1b1a2a1a1c2b2b1a2	1150
R1b1a2a1a1e	925
R1b1a2a1a2	900
R1b1a2a1a2a1	900
R1b1a2a1a2a1a1a	850
R1b1a2a1a2a1a2	950
R1b1a2a1a2c	950
R1b1a2a1a2c1	950
R1b1a2a1a2c1a1a1a1a	950
R1b1a2a1a2c1a1a1a1a1	950
R1b1a2a1a2c1a1a1a1a1a	950
R1b1a2a1a2c1b	950
R1b1a2a1a2c1b2b1	950
R1b1a2a1a2c1b2c1a1	950
R1b1a2a1a2c1f2	800
R1b1a2a1a2c1f2c1	950
R1b1a2a1a2c1f2c2	950
R1b1a2a1a2c1g1a1	1345
R1b1a2a1a2c1g3	1350
R1b1a2a1a2e	1050
R1b1a2a1a2e2	1350
R1b1a2a1b1	1050
R1b1a2a2	1345
R1b1a2a2c1a1a	1350
T1a1a	900
T1a2b	1345
T1a2b1	900
