Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
325	..
750	..
1329	n/a (female)
1150	n/a (female)
1695	n/a (female)
1050	..
246	n/a (female)
1014	n/a (female)
1121	..
400	n/a (female)
320	..
400	..
400	..
399	..
500	Q-M3
160	..
60	n/a (female)
180	n/a (female)
100	..
100	n/a (female)
100	n/a (female)
1490	..
1630	n/a (female)
280	..
330	n/a (female)
440	..
590	..
400	..
420	..
100	n/a (female)
100	..
100	..
450	..
380	..
770	n/a (female)
100	n/a (female)
700	n/a (female)
740	..
750	n/a (female)
655	n/a (female)
750	n/a (female)
1669	n/a (female)
850	..
1073	..
1003	n/a (female)
603	n/a (female)
750	..
750	n/a (female)
750	..
750	n/a (female)
795	n/a (female)
938	n/a (female)
679	n/a (female)
875	n/a (female)
883	Q1b1a
875	n/a (female)
795	n/a (female)
624	..
1017	n/a (female)
752	..
611	n/a (female)
614	n/a (female)
599	n/a (female)
651	..
589	..
597	n/a (female)
635	..
588	..
663	..
993	n/a (female)
985	n/a  (sex unknown)
1120	n/a  (sex unknown)
1090	n/a  (sex unknown)
900	..
990	n/a (female)
865	..
1125	..
1100	n/a  (sex unknown)
702	..
1055	n/a (female)
1000	n/a (female)
1100	E1b1a1a1c1a
1100	E1b1b1b2b(E- M293,E- CTS10880) 
281	..
309	..
1339	n/a (female)
1550	..
825	n/a (female)
797	n/a (female)
1014	..
676	..
667	..
625	..
625	n/a (female)
625	n/a (female)
625	..
625	..
400	n/a (female)
625	n/a (female)
800	..
1550	..
1755	..
1550	..
600	..
851	E1b1b1b1a1 E-M183 
992	n/a (female)
1014	n/a (female)
1137	E1b1b1b1a1 E-M183 
1324	E1b1b1b1a1 E-M183 
1101	n/a (female)
990	n/a (female)
1000	..
595	..
825	..
603	..
750	..
100	..
645	..
459	..
100	n/a (female)
100	..
100	..
100	n/a (female)
100	n/a (female)
1211	..
858	n/a (female)
1000	..
775	..
1786	C2b1a1b1
1800	C2b1a1b1
1800	C2b1a1b1b
1800	C2b1a1b1
338	..
1850	n/a (female)
1763	O2a2b1a1a1a2a
1850	n/a (female)
1850	n/a (female)
201	E1b1a1a1d1a2(E-CTS99,E-CTS99)
207	R1b1(R-P25_1,R-M415)
140	E(E-M96,E-PF1620)
766	n/a (female)
199	..
1604	..
1216	n/a (female)
1096	n/a (female)
1029	n/a (female)
1228	n/a (female)
396	..
1232	n/a (female)
1200	n/a (female)
849	..
1326	n/a (female)
1214	n/a (female)
905	Q1b1a1a1
1542	Q1b1a1a1
750	n/a (female)
1313	Q1b1a1a1
932	Q1b1a1a1
1319	Q1b1a1a1
1299	Q1b1a1a1
709	Q1b1a2
1323	Q1b1a1a1
1300	n/a (female)
1320	n/a (female)
1328	n/a (female)
1104	n/a (female)
1214	n/a (female)
393	Q1b1a1a1
488	n/a (female)
515	Q1b1a1a1
517	n/a (female)
425	Q1b1a1a1
1455	n/a (female)
1414	na
1345	Q1b1a
1232	n/a (female)
1397	Q1b
1257	n/a (female)
530	n/a (female)
1657	Q1b
1736	n/a (female)
1561	n/a (female)
1231	n/a (female)
1826	n/a (female)
1824	Q1b1a1a1
1783	Q1b1a1a1
1877	n/a (female)
650	..
603	n/a (female)
660	..
602	n/a (female)
666	n/a (female)
1229	n/a (female)
1200	n/a (female)
1462	n/a (female)
1009	n/a (female)
199	n/a (female)
1230	I1a1b1a1
1200	I1a1b1
1100	n/a (female)
1100	n/a (female)
1100	I1a1b1a1
1100	I1
1561	n/a (female)
1650	I1a2a2a
1850	I1a2a
1900	I2a1b1a
1100	n/a (female)
1000	n/a (female)
1000	G2a
1025	n/a  (sex unknown)
1075	n/a (female)
1075	n/a (female)
1075	n/a (female)
1000	J2a1a1a2b2
1000	R1b1a1b1a1a1c2b1
1050	R1b1a1b1a1a1c2b2a1b1a
1000	R1b1a1b1a1a2b1c1
1000	R1a1a1b1a1a1c1
1000	n/a (female)
1100	R1b1a1b
1000	R1a1a1b1a2b3a
1000	I1c
1000	n/a (female)
1000	n/a (female)
1000	I1a1b
1000	I2a1b1a
1000	I1a1b1a1
1000	R1a1a1b1a2b
1000	n/a (female)
1000	n/a (female)
1000	R1b1a1b1a1a2b1a1
1000	R1b1a1b1a1a2c1a2a1a1a1
1000	n/a (female)
1100	R1b1a1b1a1a1a
1000	R1b1a1b1a1a1c2b1b3b
1100	I1a1b1a4a
1000	R1a1a
1075	n/a (female)
1000	I1a
1050	n/a (female)
1075	n/a (female)
1185	I1a2a
1075	n/a (female)
1075	R1b1a1b1a1a1
1075	n/a (female)
1075	I1a1b1
1000	I1
1150	n/a (female)
1000	I1a1b
934	n/a (female)
1000	R1b1a1b1a1a1c1a2b1
935	R1b1a1b1a1a1c2b1b4
1145	n/a (female)
1026	R1b1a1b1a1a
