Haplogroup	Date Mean
A00	7913
A1b1b2	2037
BT	7274
B	7820
B2b	3097
CT	32669
C	14521
C1a	35208
C1a1a	11908
C1a2	7058
C1a2b	7091
C2	19427
C2b	13929
C2b1	6905
C2b1a1b1	2650
C2b1c	2221
C2e1b2	4050
C2e2	5250
DE	11263
E1b1b1	3550
E1b1b1a1b1	3981
F	9161
G1	5660
G2	6975
G2a	7146
G2a2	4940
G2a2a	6975
G2a2a1	7019
G2a2a1a	6326
G2a2b	6975
G2a2b2a	6450
G2a2b2a1	6975
G2a2b2a1a	6450
G2a2b2a1a1b	2225
G2a2b2a1a1c1a	4435
G2a2b2b2	6950
G2b	5163
HIJK	5483
H	5467
H1b1	6550
H2	7245
IJK	10393
I	14620
I1	13015
I2	10393
I2a	13698
I2a1	7661
I2a1a	5566
I2a1a1	5809
I2a1a1a1a1	4750
I2a1a1a1b	5450
I2a1a1b	5609
I2a1a2	7363
I2a1a2a	6600
I2a1a2a1a	4750
I2a1b	8279
I2a1b1	9580
I2a1b1a	6076
I2a1b1a2	5380
I2a1b1b	6065
I2a1b2	10280
I2a2	10280
I2a2a	7001
I2a2a1	5528
I2a2a1a1a	5528
I2a2a1a1a2	5781
I2a2a1a2a1a1	3200
I2a2a1b	5208
I2a2b	6950
J	6508
J1a2b1	2248
J2a	6466
J2a1	5550
J2a1h	2250
J2a1h2	2252
J2b	4182
L1	5164
L1a	5875
N1c	7545
N1c1a1	7379
N1c1a1a	4170
N1c2b2	8801
O1b1a2	5250
O2a	5250
O2a1c	3544
O2a2b1a1	3908
O2a2b1a1a	4479
O2a2b1a1a1a2a	4589
P1/K2b2a	4356
Q1a	4858
Q1a1a1	6927
Q1a2	4380
Q1a2a	5559
Q1a2a1c	5969
Q1a2b2	2027
Q1b	4224
Q1b1	4849
Q1b1a1a	1960
Q1b1a1a1	2734
Q1b1a2	2510
Q1b1b2a	2446
Q1b2a	4697
R/K2b2a2	3448
R1	5140
R1a	4650
R1a1a1b	2750
R1a1a1b2	2300
R1b	7127
R1b1	8704
R1b1a1	4347
R1b1a2	4901
R1b1a2a	3839
R1b1a2a1	3200
R1b1a2a1a	4671
R1b1a2a1a2	4217
R1b1a2a2	4718
R1b1a2a2c1	4745
R1b1b	7677
R1b1c	3900
T1a1	7047
T1a1a	3550
Root	200000
BT	950
CT	900
C2b1a1b1	1299
E1b1a1a1c1a	1100
E1b1b1a1b1a	1000
F	750
G2a	1000
G2a1a1	1345
G2a1a1a1a1a1	1550
G2a2	1350
G2a2b2a1a1b1a	900
G2a2b2a1a1b1a2a1a	1350
IJ	900
I	900
I1	350
I1a	834
I1a1	900
I1a1b	900
I1a1b1	950
I1a2	800
I1a2a	1185
I1a2a1a1a	887
I1a2a1a2	1350
I1a2a2	1000
I1a3	1345
I1a3a2b	850
I2	1050
I2a	800
I2a1a1	1000
I2a1b	950
I2a1b1	1000
I2a1b1a	900
I2a2	1050
I2a2a1b	1000
I2a2a1b2	850
I2a2a1b2a1	1150
J	1233
J2	1000
J2b1	1750
J2b2a1a1	1150
K2b	1487
L1	733
L2	1097
O2a2b1a1a1a2a	1763
Q1a1b1	1787
Q1a2a1a	533
Q1a2a1c	612
Q1b	637
Q1b1	935
Q1b1a	883
Q1b1a1a	659
Q1b1a1a1	393
Q1b1a2	709
R1	950
R1a	1150
R1a1	975
R1a1a	900
R1a1a1	900
R1a1a1b	908
R1a1a1b1	900
R1a1a1b1a	350
R1a1a1b1a2a	950
R1a1a1b1a2b	975
R1a1a1b1a2b3a	1000
R1a1a1b1a3	1000
R1a1a1b1a3a	350
R1a1a1b1a3a1	350
R1a1a1b1a3a1a1a	975
R1a1a1b1a3a2	900
R1a1a1b1a3b2	1200
R1b	1000
R1b1	1008
R1b1a2	647
R1b1a2a	1345
R1b1a2a1	850
R1b1a2a1a	850
R1b1a2a1a1	800
R1b1a2a1a1a	1050
R1b1a2a1a1b	950
R1b1a2a1a1c	1075
R1b1a2a1a1c1a	1050
R1b1a2a1a1c2b1b	1200
R1b1a2a1a1c2b2a1	950
R1b1a2a1a1c2b2a1a1	1150
R1b1a2a1a1c2b2a1a1a1	775
R1b1a2a1a1c2b2a1a2	1150
R1b1a2a1a1c2b2b1a	850
R1b1a2a1a1c2b2b1a1	1150
R1b1a2a1a1c2b2b1a2	1150
R1b1a2a1a1e	925
R1b1a2a1a2	900
R1b1a2a1a2a1	900
R1b1a2a1a2a1a1a	850
R1b1a2a1a2a1a2	950
R1b1a2a1a2c	950
R1b1a2a1a2c1	950
R1b1a2a1a2c1a1a1a1a	950
R1b1a2a1a2c1a1a1a1a1	950
R1b1a2a1a2c1a1a1a1a1a	950
R1b1a2a1a2c1b	950
R1b1a2a1a2c1b2b1	950
R1b1a2a1a2c1b2c1a1	950
R1b1a2a1a2c1f2	800
R1b1a2a1a2c1f2c1	950
R1b1a2a1a2c1f2c2	950
R1b1a2a1a2c1g1a1	1345
R1b1a2a1a2c1g3	1350
R1b1a2a1a2e	1050
R1b1a2a1a2e2	1350
R1b1a2a1b1	1050
R1b1a2a2	1345
R1b1a2a2c1a1a	1350
T1a1a	900
T1a2b	1345
T1a2b1	900
