Haplogroup	Date Mean
A00	-5963
A1b1b2	-87
BT	-5324
B	-5870
B2b	-1147
CT	-30719
C	-12571
C1a	-33258
C1a1a	-9958
C1a2	-5108
C1a2b	-5141
C2	-17477
C2b	-11979
C2b1	-4955
C2b1a1b1	-700
C2b1c	-271
C2e1b2	-2100
C2e2	-3300
DE	-9313
E1b1b1	-1600
E1b1b1a1b1	-2031
F	-7211
G1	-3710
G2	-5025
G2a	-5196
G2a2	-2990
G2a2a	-5025
G2a2a1	-5069
G2a2a1a	-4376
G2a2b	-5025
G2a2b2a	-4500
G2a2b2a1	-5025
G2a2b2a1a	-4500
G2a2b2a1a1b	-275
G2a2b2a1a1c1a	-2485
G2a2b2b2	-5000
G2b	-3213
HIJK	-3533
H	-3517
H1b1	-4600
H2	-5295
IJK	-8443
I	-12670
I1	-11065
I2	-8443
I2a	-11748
I2a1	-5711
I2a1a	-3616
I2a1a1	-3859
I2a1a1a1a1	-2800
I2a1a1a1b	-3500
I2a1a1b	-3659
I2a1a2	-5413
I2a1a2a	-4650
I2a1a2a1a	-2800
I2a1b	-6329
I2a1b1	-7630
I2a1b1a	-4126
I2a1b1a2	-3430
I2a1b1b	-4115
I2a1b2	-8330
I2a2	-8330
I2a2a	-5051
I2a2a1	-3578
I2a2a1a1a	-3578
I2a2a1a1a2	-3831
I2a2a1a2a1a1	-1250
I2a2a1b	-3258
I2a2b	-5000
J	-4558
J1a2b1	-298
J2a	-4516
J2a1	-3600
J2a1h	-300
J2a1h2	-302
J2b	-2232
L1	-3214
L1a	-3925
N1c	-5595
N1c1a1	-5429
N1c1a1a	-2220
N1c2b2	-6851
O1b1a2	-3300
O2a	-3300
O2a1c	-1594
O2a2b1a1	-1958
O2a2b1a1a	-2529
O2a2b1a1a1a2a	-2639
P1/K2b2a	-2406
Q1a	-2908
Q1a1a1	-4977
Q1a2	-2430
Q1a2a	-3609
Q1a2a1c	-4019
Q1a2b2	-77
Q1b	-2274
Q1b1	-2899
Q1b1a1a	-10
Q1b1a1a1	-784
Q1b1a2	-560
Q1b1b2a	-496
Q1b2a	-2747
R/K2b2a2	-1498
R1	-3190
R1a	-2700
R1a1a1b	-800
R1a1a1b2	-350
R1b	-5177
R1b1	-6754
R1b1a1	-2397
R1b1a2	-2951
R1b1a2a	-1889
R1b1a2a1	-1250
R1b1a2a1a	-2721
R1b1a2a1a2	-2267
R1b1a2a2	-2768
R1b1a2a2c1	-2795
R1b1b	-5727
R1b1c	-1950
T1a1	-5097
T1a1a	-1600
Root	-198050
BT	1000
CT	1050
C2b1a1b1	651
E1b1a1a1c1a	850
E1b1b1a1b1a	950
F	1200
G2a	950
G2a1a1	605
G2a1a1a1a1a1	400
G2a2	600
G2a2b2a1a1b1a	1050
G2a2b2a1a1b1a2a1a	600
IJ	1050
I	1050
I1	1600
I1a	1116
I1a1	1050
I1a1b	1050
I1a1b1	1000
I1a2	1150
I1a2a	765
I1a2a1a1a	1063
I1a2a1a2	600
I1a2a2	950
I1a3	605
I1a3a2b	1100
I2	900
I2a	1150
I2a1a1	950
I2a1b	1000
I2a1b1	950
I2a1b1a	1050
I2a2	900
I2a2a1b	950
I2a2a1b2	1100
I2a2a1b2a1	800
J	717
J2	950
J2b1	200
J2b2a1a1	800
K2b	463
L1	1217
L2	853
O2a2b1a1a1a2a	187
Q1a1b1	163
Q1a2a1a	1417
Q1a2a1c	1338
Q1b	1313
Q1b1	1015
Q1b1a	1067
Q1b1a1a	1291
Q1b1a1a1	1557
Q1b1a2	1241
R1	1000
R1a	800
R1a1	975
R1a1a	1050
R1a1a1	1050
R1a1a1b	1042
R1a1a1b1	1050
R1a1a1b1a	1600
R1a1a1b1a2a	1000
R1a1a1b1a2b	975
R1a1a1b1a2b3a	950
R1a1a1b1a3	950
R1a1a1b1a3a	1600
R1a1a1b1a3a1	1600
R1a1a1b1a3a1a1a	975
R1a1a1b1a3a2	1050
R1a1a1b1a3b2	750
R1b	950
R1b1	942
R1b1a2	1303
R1b1a2a	605
R1b1a2a1	1100
R1b1a2a1a	1100
R1b1a2a1a1	1150
R1b1a2a1a1a	900
R1b1a2a1a1b	1000
R1b1a2a1a1c	875
R1b1a2a1a1c1a	900
R1b1a2a1a1c2b1b	750
R1b1a2a1a1c2b2a1	1000
R1b1a2a1a1c2b2a1a1	800
R1b1a2a1a1c2b2a1a1a1	1175
R1b1a2a1a1c2b2a1a2	800
R1b1a2a1a1c2b2b1a	1100
R1b1a2a1a1c2b2b1a1	800
R1b1a2a1a1c2b2b1a2	800
R1b1a2a1a1e	1025
R1b1a2a1a2	1050
R1b1a2a1a2a1	1050
R1b1a2a1a2a1a1a	1100
R1b1a2a1a2a1a2	1000
R1b1a2a1a2c	1000
R1b1a2a1a2c1	1000
R1b1a2a1a2c1a1a1a1a	1000
R1b1a2a1a2c1a1a1a1a1	1000
R1b1a2a1a2c1a1a1a1a1a	1000
R1b1a2a1a2c1b	1000
R1b1a2a1a2c1b2b1	1000
R1b1a2a1a2c1b2c1a1	1000
R1b1a2a1a2c1f2	1150
R1b1a2a1a2c1f2c1	1000
R1b1a2a1a2c1f2c2	1000
R1b1a2a1a2c1g1a1	605
R1b1a2a1a2c1g3	600
R1b1a2a1a2e	900
R1b1a2a1a2e2	600
R1b1a2a1b1	900
R1b1a2a2	605
R1b1a2a2c1a1a	600
T1a1a	1050
T1a2b	605
T1a2b1	1050
