Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
9896	8175-7750 calBCE (8825±30 BP, BA-152174)	C
3421	1510-1425 calBCE (3210±25 BP, BA-152205)	n/a (Sex Unknown)
8990	7172-6831 calBCE (8075±30 BP, BA-152179)	n/a (female)
3050	1400-800 BCE	..
325	1450-1800 CE	..
7858	5985-5836 calBCE (7015±25 BP, PSUAMS-3058)	..
7535	5633-5532 calBCE (6665±25 BP, PSUAMS-3057)	..
750	900-1500 CE	..
4725	2950-2600 BCE	n/a (female)
2750	1100-500 BCE	n/a (female)
2025	300 BCE - 150 CE	n/a  (sex unknown)
1329	591-650 calCE (1442±20 BP, MAMS-44068)	n/a (female)
2625	800-550 BCE	n/a (female)
1150	850-1450 CE	n/a (female)
4328	2470-2239 calBCE (3895±32 BP, OxA-13541)	R1b1a1b1a1a
4215	2454-2139 calBCE (3815±40 BP, OxA-8807)	n/a (female)
2200	400-100 BCE	n/a (female)
5748	3948-3652 calBCE (5000±70, OxA-910)	..
4175	2300-2150 BCE	n/a  (sex unknown)
3200	1350-1150 BCE	n/a (female)
3200	1350-1150 BCE	n/a (female)
3169	1371-1123 calBCE (2990±25 BP, PSUAMS-6823)	..
9900	8200-7700 BCE	n/a (female)
3300	1500-1200 BCE	..
10700	9500-8000 BCE	n/a (female)
3300	1500-1200 BCE	..
3500	1600-1500 BCE	..
12700	12000-9500 BCE	..
12700	12000-9500 BCE	..
12700	12000-9500 BCE	..
9827	8176-7608 calBCE (8790±50 BP, Poz-81101)	..
9600	7752-7543 calBCE (8620±50 BP, Poz-81094)	n/a (female)
9569	7732-7537 calBCE (8590±50 BP, Poz-81097)	..
10050	8300-7900 BCE	..
9565	7741-7522 calBCE (8580±60 BP, Poz-81098)	..
9159	7451-7056 calBCE (8190±60 BP, Poz-81095)	n/a (female)
10050	8300-7900 BCE	..
9827	8176-7608 calBCE (8790±50 BP, Poz-81101)	..
9600	7752-7543 calBCE (8620±50 BP, Poz-81094)	n/a (female)
10050	8300-7900 BCE	..
8800	6900-6800 BCE	n/a (female)
8700	6800-6700 BCE	n/a (female)
8700	6800-6700 BCE	n/a (female)
8800	6900-6800 BCE	n/a (female)
6009	4227-3965 calBCE (5270±25 BP, UCIAMS-186346)	..
6009	4227-3965 calBCE (5270±25 BP, UCIAMS-186346)	..
3234	1386-1212 calBCE (3025±20 BP, PSUAMS-7882)	..
4844	2911-2881 calBCE (4270±17 BP) [R_combine: (4260±30 BP, Beta-392487); (4275±20 BP, PSUAMS-4279)]	..
1695	60-450 calCE (2560±20 BP, PSUAMS-1962)	n/a (female)
7950	6400-5600 BCE	n/a (female)
8300	6500-6200 BCE	..
8300	6500-6200 BCE	n/a (female)
8300	6500-6200 BCE	..
8300	6500-6200 BCE	..
7950	6400-5600 BCE	n/a (female)
10700	9000-8500 BCE	n/a (female)
10700	9000-8500 BCE	n/a (female)
5649	3769-3648 calBCE (4938±22 BP) [R_combine: (4890±30 BP, Beta-432808); (4985±30 BP, OxA-25991)]	..
7363	5475-5331 calBCE (6430±25 BP, PSUAMS-2684)	..
6831	4983-4795 calBCE (5995±25 BP, PSUAMS-2303)	..
7347	5473-5320 calBCE (6410±25 BP, PSUAMS-2302)	..
7374	5481-5374 calBCE (6485±25 BP, PSUAMS-2808)	..
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	..
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	..
0	present	..
0	present	..
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	..
0	present	..
4466	2581-2411 calBCE (3989±31 BP, OxA-31781)	..
2450	600-400 BCE	..
3000	1700-400 BCE	..
2900	1500-400 BCE	n/a (female)
2500	500-50 BCE	..
2450	600-400 BCE	..
2500	700-400 BCE	n/a (female)
2450	600-400 BCE	..
1050	800-1000 CE	..
3500	2700-400 BCE	n/a (female)
4505	2663-2472 calBCE (4045±25 BP, PSUAMS-7926)	..
8096	6223-6067 calBCE (7270±30 BP, PSUAMS-7927)	n/a (female)
2426	658-403 calBCE (2405±20 BP, PSUAMS-7193)	..
246	1644-1797 calCE (235±15 BP, PSUAMS-8291)	n/a (female)
6200	5000-3500 BCE	..
6102	4313-4051 calBCE (5330±25 BP, PSUAMS-5944)	..
3745	1880-1695 calBCE (3465±20 BP, PSUAMS-7540)	..
1014	889-989 calCE (1120±20 BP, PSUAMS-5943)	n/a (female)
1121	773-885 calCE (1205±20 BP, PSUAMS-7198)	..
400	1400-1700 CE	n/a (female)
320	1527-1660 calCE (270±13 BP) [R_combine: (260±20 BP, PSUAMS-7160); (275±15 BP, PSUAMS-8304)]	..
400	1400-1700 CE	..
400	1400-1700 CE	..
399	1472-1632 calCE (355±15 BP, PSUAMS-7161)	..
0	present	n/a (female)
0	present	n/a (female)
0	present	..
0	present	n/a (female)
0	present	..
110450	128050-88950 BCE	n/a (female)
110450	128050-88950 BCE	n/a (female)
0	present	n/a  (sex unknown)
0	present	..
0	present	n/a  (sex unknown)
0	present	..
0	present	..
0	present	..
500	1400-1500 CE	Q-M3
7162	5462-5014 calBCE (6300±70 BP, AA-7966)	..
7162	5462-5014 calBCE (6300±70 BP, AA-7966)	..
7428	5620-5336 calBCE (6560±60 BP, LP-186)	n/a (female)
7428	5620-5336 calBCE (6560±60 BP, LP-186)	..
7652	5881-5561 calBCE (6838±73 BP, AA-67738)	..
8574	7026-6433 calBCE (7805±85 BP, AA-106014)	..
8373	6570-6252 calBCE (7612±53 BP, AA-106013)	..
7758	5971-5718 calBCE (6959±43) [R_combine: (7000±80 BP, TO-1503); (6970±60 BP, CAMS-16170); (6880±90 BP, NZA-1101)]	n/a (female)
160	1560-1960 calCE (555±20 BP, PSUAMS-6678)	..
60	1810-1960 calCE (490±25 BP, PSUAMS-6679)	n/a (female)
180	1550-1960 calCE (570±20 BP, PSUAMS-6680)	n/a (female)
100	1800-1900 CE	..
100	1800-1900 CE	n/a (female)
100	1800-1900 CE	n/a (female)
1490	260-600 calCE (1975±25 BP, PSUAMS-6673)	..
1630	250-385 calCE (1750±15 BP, UCIAMS-185301)	n/a (female)
6875	5010-4840 calBCE (6080±15 BP, UCIAMS-185303)	n/a (female)
6715	4830-4700 calBCE (5930±15 BP, UCIAMS-185302)	n/a (female)
7700	7000-4500 BCE	..
2333	736-194 calBCE (2369±52 BP, UGAMS-16601)	n/a (female)
280	1450-1820 calCE (650±20 BP, PSUAMS-6674)	..
330	1470-1810 calCE (530±45 BP, PSUAMS-6675)	n/a (female)
440	1330-1650 calCE (820±40 BP, UGAMS-5151)	..
590	1280-1440 calCE (870±20 BP, PSUAMS-6683)	..
400	1460-1640 calCE (800±20 BP, PSUAMS-6676)	..
420	1450-1630 calCE (815±20 BP, PSUAMS-6677)	..
100	1800-1900 CE	n/a (female)
100	1800-1900 CE	..
100	1800-1900 CE	..
5820	4040-3710 calBCE (5205±58 BP, AA-60935)	n/a (female)
450	1420-1630 calCE (520±30 BP, PSUAMS-6672)	..
380	1490-1660 calCE (335±35 BP, AA-69652)	..
770	1040-1280 calCE (897±38 BP, AA-69655)	n/a (female)
100	1670-1960 calCE (220±20 BP, PSUAMS-6685)	n/a (female)
700	1200-1300 calCE (895±25 BP, PSUAMS-6686)	n/a (female)
740	1150-1270 calCE (960±20 BP, PSUAMS-6684)	..
2286	399-231 calBCE (2280±20 BP, PSUAMS-7164)	..
5875	4350-3500 BCE	L1a
