Haplogroup	Date Mean
A00	-5963
A1b1b2	62
BT	-5138
B	-5870
B2b	-1147
CT	-2530
C	-7946
C1a	-33258
C1a1a	-9958
C1a2	-5075
C1a2b	-5076
C2	-17477
C2b	-11979
C2b1	-2606
C2b1a1b1	164
C2b1c	-271
C2e1b2	-2100
C2e2	-3300
DE	-9313
E1b1a1a1c1a	850
E1b1b1	-1600
E1b1b1a1b1	-2031
E1b1b1a1b1a	950
F	950
G1	-3710
G2	-5025
G2a	950
G2a1a1	605
G2a1a1a1a1a1	400
G2a2	-2762
G2a2a	-4395
G2a2a1	-4426
G2a2a1a	-4376
G2a2b	-5025
G2a2b2a	-1850
G2a2b2a1	-4500
G2a2b2a1a	-4500
G2a2b2a1a1b	-379
G2a2b2a1a1b1a	1050
G2a2b2a1a1b1a2a1a	600
G2a2b2a1a1c1a	-2485
G2a2b2b2	-5000
G2b	-3213
HIJK	-3533
H	-3517
H1b1	-4600
H2	-3544
IJK	-8443
IJ	1050
I	-3870
I1	850
I1a	950
I1a1	1050
I1a1b	950
I1a1b1	750
I1a2	1100
I1a2a	100
I1a2a1a1a	950
I1a2a1a2	600
I1a2a2	950
I1a3	400
I1a3a2b	1100
I2	-2985
I2a	1150
I2a1	-2154
I2a1a	-2800
I2a1a1	950
I2a1a1a1a1	-101
I2a1a1a1b	-3500
I2a1a1b	-3659
I2a1a2	-4098
I2a1a2a	-4650
I2a1a2a1a	-2800
I2a1b	-3230
I2a1b1	-3575
I2a1b1a	-4126
I2a1b1a2	-3430
I2a1b1b	-488
I2a1b2	-1451
I2a2	-2045
I2a2a	-1883
I2a2a1	-2900
I2a2a1a1a	-3578
I2a2a1a1a2	-3831
I2a2a1a2a1a1	-1250
I2a2a1b	-3258
I2a2a1b2	600
I2a2a1b2a1	800
I2a2b	-5000
J	-1234
J1a2b1	-298
J2	950
J2a	-4516
J2a1	-908
J2a1h	-300
J2a1h2	-302
J2b	-2232
J2b1	200
J2b2a1a1	800
K2b	463
L1	-3214
L1a	-3925
L2	853
N1c	-5595
N1c1a1	-4600
N1c1a1a	-2220
N1c2b2	-2555
O1b1a2	-3300
O2a	-3300
O2a1c	-1594
O2a2b1a1	-1958
O2a2b1a1a	-2346
O2a2b1a1a1a2a	-2639
P1/K2b2a	-2406
Q1a	-2908
Q1a1a1	-4977
Q1a1b1	163
Q1a2	-2430
Q1a2a	-2400
Q1a2a1a	1417
Q1a2a1c	-2301
Q1a2b2	-77
Q1b	-50
Q1b1	-2548
Q1b1a	1067
Q1b1a1a	-10
Q1b1a1a1	-50
Q1b1a2	-50
Q1b1b2a	-496
Q1b2a	-2747
R/K2b2a2	-1498
R1	-2272
R1a	-2700
R1a1	975
R1a1a	950
R1a1a1	940
R1a1a1b	1042
R1a1a1b1	750
R1a1a1b1a	1600
R1a1a1b1a2a	750
R1a1a1b1a2b	950
R1a1a1b1a2b3a	950
R1a1a1b1a3	950
R1a1a1b1a3a	1600
R1a1a1b1a3a1	1050
R1a1a1b1a3a1a1a	975
R1a1a1b1a3a2	950
R1a1a1b1a3b2	750
R1a1a1b2	-350
R1b	-2000
R1b1	-3577
R1b1a1	-636
R1b1a2	-2276
R1b1a2a	-1889
R1b1a2a1	1100
R1b1a2a1a	600
R1b1a2a1a1	900
R1b1a2a1a1a	900
R1b1a2a1a1b	1000
R1b1a2a1a1c	875
R1b1a2a1a1c1a	900
R1b1a2a1a1c2b1b	750
R1b1a2a1a1c2b2a1	1000
R1b1a2a1a1c2b2a1a1	800
R1b1a2a1a1c2b2a1a1a1	750
R1b1a2a1a1c2b2a1a2	800
R1b1a2a1a1c2b2b1a	1100
R1b1a2a1a1c2b2b1a1	800
R1b1a2a1a1c2b2b1a2	800
R1b1a2a1a1e	1025
R1b1a2a1a2	600
R1b1a2a1a2a1	1050
R1b1a2a1a2a1a1a	1100
R1b1a2a1a2a1a2	1000
R1b1a2a1a2c	1000
R1b1a2a1a2c1	600
R1b1a2a1a2c1a1a1a1a	1000
R1b1a2a1a2c1a1a1a1a1	1000
R1b1a2a1a2c1a1a1a1a1a	1000
R1b1a2a1a2c1b	1000
R1b1a2a1a2c1b2b1	1000
R1b1a2a1a2c1b2c1a1	1000
R1b1a2a1a2c1f2	1150
R1b1a2a1a2c1f2c1	1000
R1b1a2a1a2c1f2c2	1000
R1b1a2a1a2c1g1a1	605
R1b1a2a1a2c1g3	600
R1b1a2a1a2e	900
R1b1a2a1a2e2	600
R1b1a2a1b1	900
R1b1a2a2	605
R1b1a2a2c1	-2250
R1b1a2a2c1a1a	600
R1b1b	-5083
R1b1c	-1950
T1a1	-3650
T1a1a	1050
T1a2b	605
T1a2b1	1050
Root	-198050
